Joueur	Année	Pays	Poste	Position	Taille	Poids	IMC
Andrews	1995	Afrique du Sud	2e ligne	Avant	200	112	28.000
Brink	1995	Afrique du Sud	3e ligne	Avant	195	108	28.402
Dalton	1995	Afrique du Sud	1ère ligne	Avant	180	92	28.395
Du Randt	1995	Afrique du Sud	1ère ligne	Avant	190	113	31.302
Hendricks	1995	Afrique du Sud	Ailier	Arrière	182	90	27.171
Hurter	1995	Afrique du Sud	1ère ligne	Avant	187	110	31.456
Johnson	1995	Afrique du Sud	Arrière	Arrière	191	89	24.396
Joubert	1995	Afrique du Sud	Arrière	Arrière	185	92	26.881
Kruger	1995	Afrique du Sud	3e ligne	Avant	188	101	28.576
Le Roux	1995	Afrique du Sud	Demi	Arrière	176	80	25.826
Mulder	1995	Afrique du Sud	Centre	Arrière	184	95	28.060
Otto	1995	Afrique du Sud	2e ligne	Avant	200	115	28.750
Pagel	1995	Afrique du Sud	1ère ligne	Avant	193	118	31.679
Pienaar	1995	Afrique du Sud	3e ligne	Avant	191	105	28.782
Richter	1995	Afrique du Sud	3e ligne	Avant	193	101	27.115
Rossouw	1995	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Roux	1995	Afrique du Sud	Demi	Arrière	180	85	26.235
Scholtz	1995	Afrique du Sud	Centre	Arrière	186	93	26.882
Small	1995	Afrique du Sud	Ailier	Arrière	182	90	27.171
Stransky	1995	Afrique du Sud	Demi	Arrière	179	84	26.216
Straueli	1995	Afrique du Sud	3e ligne	Avant	195	110	28.928
Strydom	1995	Afrique du Sud	2e ligne	Avant	199	115	29.040
Swart	1995	Afrique du Sud	1ère ligne	Avant	185	113	33.017
Van der Westhuizen	1995	Afrique du Sud	Demi	Arrière	184	88	25.992
Venter	1995	Afrique du Sud	Centre	Arrière	184	86	25.402
Wiese	1995	Afrique du Sud	2e ligne	Avant	199	125	31.565
Andrews	1999	Afrique du Sud	2e ligne	Avant	200	112	28.000
De Beer	1999	Afrique du Sud	Demi	Arrière	182	80	24.152
Drotske	1999	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Du Randt	1999	Afrique du Sud	1ère ligne	Avant	190	130	36.011
Erasmus	1999	Afrique du Sud	3e ligne	Avant	190	100	27.701
Fleck	1999	Afrique du Sud	Centre	Arrière	184	89	26.288
Garvey	1999	Afrique du Sud	1ère ligne	Avant	189	116	32.474
Honiball	1999	Afrique du Sud	Demi	Arrière	190	90	24.931
Julies	1999	Afrique du Sud	Centre	Arrière	182	88	26.567
Kayser	1999	Afrique du Sud	Ailier	Arrière	175	78	25.469
Kruger	1999	Afrique du Sud	3e ligne	Avant	189	102	28.555
Le Roux	1999	Afrique du Sud	1ère ligne	Avant	183	122	36.430
Leonard	1999	Afrique du Sud	3e ligne	Avant	190	102	28.255
Malotana	1999	Afrique du Sud	Centre	Arrière	176	85	27.441
Montgomery	1999	Afrique du Sud	Arrière	Arrière	183	85	25.381
Muller	1999	Afrique du Sud	Centre	Arrière	186	96	27.749
Otto	1999	Afrique du Sud	2e ligne	Avant	200	116	29.000
Paulse	1999	Afrique du Sud	Ailier	Arrière	175	74	24.163
Rossouw C.	1999	Afrique du Sud	1ère ligne	Avant	182	105	31.699
Rossouw P.	1999	Afrique du Sud	Ailier	Arrière	193	90	24.162
Skinstad	1999	Afrique du Sud	3e ligne	Avant	195	104	27.350
Swanepoel	1999	Afrique du Sud	Demi	Arrière	173	80	26.730
Terblanche	1999	Afrique du Sud	Ailier	Arrière	187	95	27.167
Van den Bergh	1999	Afrique du Sud	2e ligne	Avant	201	102	25.247
Van der Westhuizen	1999	Afrique du Sud	Demi	Arrière	188	88	24.898
Van Heerden	1999	Afrique du Sud	2e ligne	Avant	198	110	28.058
Venter A.	1999	Afrique du Sud	3e ligne	Avant	196	108	28.113
Venter B.	1999	Afrique du Sud	Centre	Arrière	186	92	26.593
Visagie	1999	Afrique du Sud	1ère ligne	Avant	185	118	34.478
Vos	1999	Afrique du Sud	3e ligne	Avant	189	104	29.115
Bands	2003	Afrique du Sud	1ère ligne	Avant	183	119	35.534
Bezuidenhout	2003	Afrique du Sud	1ère ligne	Avant	187	116	33.172
Boome	2003	Afrique du Sud	2e ligne	Avant	198	107	27.293
Botha	2003	Afrique du Sud	2e ligne	Avant	201	120	29.702
Burger	2003	Afrique du Sud	3e ligne	Avant	193	106	28.457
De Kock	2003	Afrique du Sud	Demi	Arrière	177	80	25.535
Delport	2003	Afrique du Sud	Arrière	Arrière	188	98	27.727
Greef	2003	Afrique du Sud	Centre	Arrière	188	92	26.030
Hougaard	2003	Afrique du Sud	Demi	Arrière	176	87	28.086
Koen	2003	Afrique du Sud	Demi	Arrière	180	87	26.852
Krige	2003	Afrique du Sud	3e ligne	Avant	190	99	27.424
Loubscher	2003	Afrique du Sud	Arrière	Arrière	180	86	26.543
Matfield	2003	Afrique du Sud	2e ligne	Avant	200	115	28.750
Muller	2003	Afrique du Sud	Centre	Arrière	182	89	26.869
Paulse	2003	Afrique du Sud	Ailier	Arrière	178	80	25.249
Rautenbach	2003	Afrique du Sud	1ère ligne	Avant	190	128	35.457
Rossouw	2003	Afrique du Sud	2e ligne	Avant	198	120	30.609
Santon	2003	Afrique du Sud	1ère ligne	Avant	178	104	32.824
Scholtz	2003	Afrique du Sud	3e ligne	Avant	186	102	29.483
Sephaka	2003	Afrique du Sud	1ère ligne	Avant	178	115	36.296
Smith	2003	Afrique du Sud	3e ligne	Avant	196	104	27.072
Van der Westhuizen Ja.	2003	Afrique du Sud	Centre	Arrière	180	88	27.160
Van der Westhuizen Jo.	2003	Afrique du Sud	Demi	Arrière	188	92	26.030
Van Niekerk	2003	Afrique du Sud	3e ligne	Avant	193	105	28.189
Barry	2003	Afrique du Sud	Centre	Arrière	187	92	26.309
Coetzee	2003	Afrique du Sud	1ère ligne	Avant	185	109	31.848
Fourie	2003	Afrique du Sud	Centre	Arrière	189	92	25.755
Smit	2003	Afrique du Sud	1ère ligne	Avant	188	116	32.820
Terblanche	2003	Afrique du Sud	Ailier	Arrière	187	95	27.167
Willemse	2003	Afrique du Sud	Ailier	Arrière	188	89	25.181
Steenkamp	2007	Afrique du Sud	1ère ligne	Avant	186	125	36.131
Botha Br.	2007	Afrique du Sud	1ère ligne	Avant	180	116	35.802
Van der Linde	2007	Afrique du Sud	1ère ligne	Avant	189	125	34.993
Du Randt	2007	Afrique du Sud	1ère ligne	Avant	190	125	34.626
Smit	2007	Afrique du Sud	1ère ligne	Avant	188	117	33.103
Botha G.	2007	Afrique du Sud	1ère ligne	Avant	180	106	32.716
Du Plessis	2007	Afrique du Sud	1ère ligne	Avant	189	114	31.914
Rossouw	2007	Afrique du Sud	3e ligne	Avant	196	117	30.456
Botha Ba.	2007	Afrique du Sud	2e ligne	Avant	200	120	30.000
Burger	2007	Afrique du Sud	3e ligne	Avant	193	109	29.263
Van Heerden	2007	Afrique du Sud	3e ligne	Avant	193	107	28.726
Skinstad	2007	Afrique du Sud	3e ligne	Avant	193	105	28.189
James	2007	Afrique du Sud	Demi	Arrière	187	98	28.025
Matfield	2007	Afrique du Sud	2e ligne	Avant	200	112	28.000
Smith	2007	Afrique du Sud	3e ligne	Avant	196	107	27.853
Muller	2007	Afrique du Sud	2e ligne	Avant	200	110	27.500
Steyn	2007	Afrique du Sud	Arrière	Arrière	191	100	27.412
Habana	2007	Afrique du Sud	Ailier	Arrière	179	87	27.153
Ndungane	2007	Afrique du Sud	Ailier	Arrière	183	90	26.874
De Villiers	2007	Afrique du Sud	Centre	Arrière	191	98	26.863
Montgomery	2007	Afrique du Sud	Arrière	Arrière	183	89	26.576
Januarie	2007	Afrique du Sud	Demi	Arrière	168	75	26.573
Du Preez	2007	Afrique du Sud	Demi	Arrière	182	88	26.567
Van der Berg	2007	Afrique du Sud	2e ligne	Avant	201	107	26.484
Pietersen	2007	Afrique du Sud	Ailier	Arrière	190	95	26.316
Olivier	2007	Afrique du Sud	Centre	Arrière	186	90	26.015
Pienaar	2007	Afrique du Sud	Demi	Arrière	187	90	25.737
Pretorius	2007	Afrique du Sud	Demi	Arrière	178	80	25.249
Willemse	2007	Afrique du Sud	Ailier	Arrière	188	89	25.181
Fourie	2007	Afrique du Sud	Centre	Arrière	188	88	24.898
Alberts	2011	Afrique du Sud	3e ligne	Avant	192	116	31.467
Aplon	2011	Afrique du Sud	Arrière	Arrière	180	76	23.457
Botha	2011	Afrique du Sud	2e ligne	Avant	199	120	30.302
Brussow	2011	Afrique du Sud	3e ligne	Avant	179	101	31.522
Burger	2011	Afrique du Sud	3e ligne	Avant	192	107	29.026
De Jongh	2011	Afrique du Sud	Centre	Arrière	171	86	29.411
De Villiers	2011	Afrique du Sud	Centre	Arrière	190	103	28.532
Du Preez	2011	Afrique du Sud	Demi	Arrière	183	90	26.874
Fourie	2011	Afrique du Sud	Centre	Arrière	189	101	28.275
Habana	2011	Afrique du Sud	Ailier	Arrière	180	94	29.012
Hougaard	2011	Afrique du Sud	Demi	Arrière	177	91	29.047
James	2011	Afrique du Sud	Demi	Arrière	185	98	28.634
Louw	2011	Afrique du Sud	3e ligne	Avant	189	111	31.074
Mtawarira	2011	Afrique du Sud	1ère ligne	Avant	187	116	33.172
Muller	2011	Afrique du Sud	2e ligne	Avant	190	105	29.086
Pienaar	2011	Afrique du Sud	Demi	Arrière	187	82	23.449
Ralepelle	2011	Afrique du Sud	1ère ligne	Avant	176	98	31.637
Rossouw	2011	Afrique du Sud	2e ligne	Avant	195	117	30.769
Smit	2011	Afrique du Sud	1ère ligne	Avant	187	121	34.602
Spies	2011	Afrique du Sud	3e ligne	Avant	195	109	28.665
Steenkamp	2011	Afrique du Sud	1ère ligne	Avant	185	118	34.478
Steyn F.	2011	Afrique du Sud	Centre	Arrière	189	99	27.715
Steyn M.	2011	Afrique du Sud	Demi	Arrière	182	91	27.473
Van der Linde	2011	Afrique du Sud	1ère ligne	Avant	189	121	33.874
Du Plessis J.	2011	Afrique du Sud	1ère ligne	Avant	188	118	33.386
Lambie	2011	Afrique du Sud	Arrière	Arrière	178	80	25.249
Matfield	2011	Afrique du Sud	2e ligne	Avant	199	108	27.272
Ndungane	2011	Afrique du Sud	Ailier	Arrière	185	96	28.050
Pietersen	2011	Afrique du Sud	Ailier	Arrière	189	101	28.275
Du Plessis B.	2011	Afrique du Sud	1ère ligne	Avant	187	110	31.456
Andrew	1995	Angleterre	Demi	Arrière	175	80	26.122
Back	1995	Angleterre	3e ligne	Avant	177	88	28.089
Bayfield	1995	Angleterre	2e ligne	Avant	208	115	26.581
Bracken	1995	Angleterre	Demi	Arrière	180	80	24.691
Callard	1995	Angleterre	Arrière	Arrière	178	79	24.934
Carling	1995	Angleterre	Centre	Arrière	180	85	26.235
Catt	1995	Angleterre	Arrière	Arrière	180	83	25.617
Clarke	1995	Angleterre	3e ligne	Avant	196	107	27.853
Dawe	1995	Angleterre	1ère ligne	Avant	180	90	27.778
De Glanville	1995	Angleterre	Centre	Arrière	180	85	26.235
Guscott	1995	Angleterre	Centre	Arrière	185	85	24.836
Hopley	1995	Angleterre	Centre	Arrière	188	91	25.747
Hunter	1995	Angleterre	Ailier	Arrière	188	88	24.898
Johnson	1995	Angleterre	2e ligne	Avant	200	113	28.250
Leonard	1995	Angleterre	1ère ligne	Avant	178	108	34.087
Mallett	1995	Angleterre	1ère ligne	Avant	185	104	30.387
Moore	1995	Angleterre	1ère ligne	Avant	175	90	29.388
Morris	1995	Angleterre	Demi	Arrière	183	85	25.381
Ojomoh	1995	Angleterre	3e ligne	Avant	191	104	28.508
Richards	1995	Angleterre	3e ligne	Avant	193	111	29.799
Rodber	1995	Angleterre	3e ligne	Avant	198	105	26.783
Rowntree	1995	Angleterre	1ère ligne	Avant	183	108	32.249
Ubogu	1995	Angleterre	1ère ligne	Avant	175	102	33.306
Underwood R.	1995	Angleterre	Ailier	Arrière	175	84	27.429
Underwood T.	1995	Angleterre	Ailier	Arrière	175	84	27.429
West	1995	Angleterre	2e ligne	Avant	208	125	28.892
Archer	1999	Angleterre	2e ligne	Avant	198	117	29.844
Back	1999	Angleterre	3e ligne	Avant	177	93	29.685
Beal	1999	Angleterre	Arrière	Arrière	187	86	24.593
Bracken	1999	Angleterre	Demi	Arrière	180	84	25.926
Catt	1999	Angleterre	Demi	Arrière	177	86	27.451
Cockerill	1999	Angleterre	1ère ligne	Avant	177	108	34.473
Corry	1999	Angleterre	3e ligne	Avant	195	111	29.191
Dallaglio	1999	Angleterre	3e ligne	Avant	193	110	29.531
Dawson	1999	Angleterre	Demi	Arrière	180	80	24.691
De Glanville	1999	Angleterre	Centre	Arrière	180	85	26.235
Garforth	1999	Angleterre	1ère ligne	Avant	177	117	37.346
Grayson	1999	Angleterre	Demi	Arrière	182	79	23.850
Greening	1999	Angleterre	1ère ligne	Avant	182	107	32.303
Grenwood	1999	Angleterre	Centre	Arrière	193	95	25.504
Grewcock	1999	Angleterre	2e ligne	Avant	198	111	28.313
Guscott	1999	Angleterre	Centre	Arrière	185	87	25.420
Healey	1999	Angleterre	Ailier	Arrière	177	84	26.812
Hill	1999	Angleterre	3e ligne	Avant	187	98	28.025
Johnson	1999	Angleterre	2e ligne	Avant	198	113	28.824
Leonard	1999	Angleterre	1ère ligne	Avant	177	108	34.473
Luger	1999	Angleterre	Ailier	Arrière	185	88	25.712
McCarthy	1999	Angleterre	1ère ligne	Avant	177	101	32.239
Perry	1999	Angleterre	Arrière	Arrière	185	85	24.836
Rees	1999	Angleterre	Ailier	Arrière	175	87	28.408
Rodber	1999	Angleterre	2e ligne	Avant	198	114	29.079
Rowntree	1999	Angleterre	1ère ligne	Avant	182	109	32.907
Ubogu	1999	Angleterre	1ère ligne	Avant	175	107	34.939
Vickery	1999	Angleterre	1ère ligne	Avant	189	110	30.794
Wilkinson	1999	Angleterre	Demi	Arrière	177	84	26.812
Worsley	1999	Angleterre	3e ligne	Avant	195	107	28.139
Abbott	2003	Angleterre	Centre	Arrière	183	87	25.979
Cohen	2003	Angleterre	Ailier	Arrière	188	100	28.293
Corry	2003	Angleterre	3e ligne	Avant	196	111	28.894
Dallaglio	2003	Angleterre	3e ligne	Avant	193	106	28.457
Dawson	2003	Angleterre	Demi	Arrière	178	86	27.143
Gomarsall	2003	Angleterre	Demi	Arrière	178	86	27.143
Grayson	2003	Angleterre	Demi	Arrière	180	87	26.852
Greenwood	2003	Angleterre	Centre	Arrière	194	101	26.836
Grewcock	2003	Angleterre	2e ligne	Avant	198	111	28.313
Hill	2003	Angleterre	3e ligne	Avant	188	102	28.859
Johnson	2003	Angleterre	2e ligne	Avant	198	117	29.844
Kay	2003	Angleterre	2e ligne	Avant	198	112	28.569
Leonard	2003	Angleterre	1ère ligne	Avant	178	111	35.033
Lewsey	2003	Angleterre	Arrière	Arrière	180	85	26.235
Luger	2003	Angleterre	Ailier	Arrière	185	94	27.465
Regan	2003	Angleterre	1ère ligne	Avant	178	95	29.984
Robinson	2003	Angleterre	Ailier	Arrière	173	83	27.732
Tindall	2003	Angleterre	Centre	Arrière	188	92	26.030
Vickery	2003	Angleterre	1ère ligne	Avant	191	121	33.168
Woodman	2003	Angleterre	1ère ligne	Avant	180	114	35.185
Back	2003	Angleterre	3e ligne	Avant	178	88	27.774
Catt	2003	Angleterre	Centre	Arrière	176	86	27.763
Moody	2003	Angleterre	3e ligne	Avant	193	101	27.115
Thompson	2003	Angleterre	1ère ligne	Avant	188	110	31.123
West	2003	Angleterre	1ère ligne	Avant	181	101	30.829
White	2003	Angleterre	1ère ligne	Avant	186	114	32.952
Wilkinson	2003	Angleterre	Demi	Arrière	178	84	26.512
Worlsey	2003	Angleterre	3e ligne	Avant	196	108	28.113
Bracken	2003	Angleterre	Demi	Arrière	180	82	25.309
Balshaw	2003	Angleterre	Ailier	Arrière	186	83	23.991
Stevens	2007	Angleterre	1ère ligne	Avant	182	115	34.718
Vickery	2007	Angleterre	1ère ligne	Avant	188	121	34.235
Freshwater	2007	Angleterre	1ère ligne	Avant	183	110	32.847
Mears	2007	Angleterre	1ère ligne	Avant	175	99	32.327
Chuter	2007	Angleterre	1ère ligne	Avant	178	101	31.877
Sheridan	2007	Angleterre	1ère ligne	Avant	195	119	31.295
Dallaglio	2007	Angleterre	3e ligne	Avant	193	115	30.873
Easter	2007	Angleterre	3e ligne	Avant	193	115	30.873
Rees	2007	Angleterre	3e ligne	Avant	180	100	30.864
Kay	2007	Angleterre	2e ligne	Avant	198	120	30.609
Richards	2007	Angleterre	Demi	Arrière	175	93	30.367
Regan	2007	Angleterre	1ère ligne	Avant	178	96	30.299
Perry	2007	Angleterre	Demi	Arrière	178	95	29.984
Corry	2007	Angleterre	3e ligne	Avant	196	113	29.415
Gomarsall	2007	Angleterre	Demi	Arrière	177	91	29.047
Barkley	2007	Angleterre	Demi	Arrière	178	92	29.037
Worsley	2007	Angleterre	3e ligne	Avant	196	111	28.894
Shaw	2007	Angleterre	2e ligne	Avant	205	120	28.554
Hipkis	2007	Angleterre	Ailier	Arrière	178	90	28.406
Cueto	2007	Angleterre	Ailier	Arrière	183	95	28.368
Borthwick	2007	Angleterre	2e ligne	Avant	198	111	28.313
Farrell	2007	Angleterre	Centre	Arrière	190	102	28.255
Moody	2007	Angleterre	3e ligne	Avant	191	103	28.234
Robinson	2007	Angleterre	Arrière	Arrière	173	84	28.066
Lewsey	2007	Angleterre	Ailier	Arrière	178	87	27.459
Wilkinson	2007	Angleterre	Demi	Arrière	177	86	27.451
Catt	2007	Angleterre	Centre	Arrière	178	86	27.143
Noon	2007	Angleterre	Centre	Arrière	180	86	26.543
Sackey	2007	Angleterre	Ailier	Arrière	186	91	26.304
Tait	2007	Angleterre	Ailier	Arrière	180	85	26.235
Armitage	2011	Angleterre	Arrière	Arrière	191	93	25.493
Ashton	2011	Angleterre	Ailier	Arrière	182	92	27.774
Banahan	2011	Angleterre	Ailier	Arrière	201	116	28.712
Cole	2011	Angleterre	1ère ligne	Avant	189	118	33.034
Corbisiero	2011	Angleterre	1ère ligne	Avant	186	118	34.108
Croft	2011	Angleterre	3e ligne	Avant	198	105	26.783
Easter	2011	Angleterre	3e ligne	Avant	193	117	31.410
Flood	2011	Angleterre	Demi	Arrière	184	92	27.174
Moody	2011	Angleterre	3e ligne	Avant	191	102	27.960
Palmer	2011	Angleterre	2e ligne	Avant	200	116	29.000
Shaw	2011	Angleterre	2e ligne	Avant	203	122	29.605
Sheridan	2011	Angleterre	1ère ligne	Avant	195	125	32.873
Simpson	2011	Angleterre	Demi	Arrière	180	82	25.309
Stevens	2011	Angleterre	1ère ligne	Avant	187	122	34.888
Thompson	2011	Angleterre	1ère ligne	Avant	188	118	33.386
Tindall	2011	Angleterre	Centre	Arrière	185	102	29.803
Tuilagui	2011	Angleterre	Centre	Arrière	185	112	32.725
Wigglesworth	2011	Angleterre	Demi	Arrière	176	84	27.118
Wilkinson	2011	Angleterre	Demi	Arrière	178	89	28.090
Wilson	2011	Angleterre	1ère ligne	Avant	187	122	34.888
Wood	2011	Angleterre	3e ligne	Avant	195	109	28.665
Youngs	2011	Angleterre	Demi	Arrière	178	92	29.037
Cueto	2011	Angleterre	Ailier	Arrière	183	95	28.368
Foden	2011	Angleterre	Arrière	Arrière	183	93	27.770
Hape	2011	Angleterre	Centre	Arrière	186	102	29.483
Hartley	2011	Angleterre	1ère ligne	Avant	185	110	32.140
Lawes	2011	Angleterre	2e ligne	Avant	200	111	27.750
Deacon	2011	Angleterre	2e ligne	Avant	198	117	29.844
Haskell	2011	Angleterre	3e ligne	Avant	194	114	30.290
Mears	2011	Angleterre	1ère ligne	Avant	176	98	31.637
Albanese	1995	Argentine	Ailier	Arrière	174	74	24.442
Arbizu	1995	Argentine	Demi	Arrière	175	79	25.796
Bossicovich	1995	Argentine	2e ligne	Avant	190	100	27.701
Buabse	1995	Argentine	2e ligne	Avant	190	101	27.978
Cilley	1995	Argentine	Demi	Arrière	177	77	24.578
Corral	1995	Argentine	1ère ligne	Avant	181	103	31.440
Crexell	1995	Argentine	Demi	Arrière	179	80	24.968
Cuesta Silva	1995	Argentine	Centre	Arrière	187	88	25.165
Del Castillo F.	1995	Argentine	Centre	Arrière	170	78	26.990
Del Castillo G.	1995	Argentine	Demi	Arrière	173	71	23.723
Garcia	1995	Argentine	Centre	Arrière	178	83	26.196
Irazoqui	1995	Argentine	3e ligne	Avant	190	102	28.255
Jurado	1995	Argentine	Arrière	Arrière	171	70	23.939
Le Fort	1995	Argentine	1ère ligne	Avant	172	92	31.098
Llanes	1995	Argentine	2e ligne	Avant	198	127	32.395
Martin	1995	Argentine	3e ligne	Avant	189	98	27.435
Mendez	1995	Argentine	1ère ligne	Avant	182	105	31.699
Noriega	1995	Argentine	1ère ligne	Avant	186	115	33.241
Pichot	1995	Argentine	Demi	Arrière	170	72	24.913
Salvat	1995	Argentine	Centre	Arrière	181	80	24.419
Santamarina	1995	Argentine	3e ligne	Avant	184	90	26.583
Sporleder	1995	Argentine	2e ligne	Avant	198	117	29.844
Sugasti	1995	Argentine	3e ligne	Avant	187	92	26.309
Teran	1995	Argentine	Ailier	Arrière	174	74	24.442
Urbano	1995	Argentine	1ère ligne	Avant	177	100	31.919
Viel	1995	Argentine	3e ligne	Avant	190	98	27.147
Albanese	1999	Argentine	Ailier	Arrière	175	78	25.469
Allub	1999	Argentine	2e ligne	Avant	195	104	27.350
Arbizu	1999	Argentine	Demi	Arrière	175	78	25.469
Bartolucci	1999	Argentine	Ailier	Arrière	195	89	23.406
Camardon	1999	Argentine	Demi	Arrière	187	85	24.307
Canalda	1999	Argentine	1ère ligne	Avant	182	98	29.586
Cilley	1999	Argentine	Demi	Arrière	177	79	25.216
Contepomi F.	1999	Argentine	Centre	Arrière	180	85	26.235
Contepomi M.	1999	Argentine	Arrière	Arrière	187	89	25.451
Corleto	1999	Argentine	Ailier	Arrière	185	85	24.836
Diaz Alberdi	1999	Argentine	1ère ligne	Avant	180	107	33.025
Fernandez Llobe	1999	Argentine	3e ligne	Avant	193	105	28.189
Fernandez Miranda J.	1999	Argentine	Demi	Arrière	180	84	25.926
Fernandez Miranda N.	1999	Argentine	Demi	Arrière	177	85	27.131
Grau	1999	Argentine	1ère ligne	Avant	182	107	32.303
Hasan	1999	Argentine	1ère ligne	Avant	182	107	32.303
Ledesma	1999	Argentine	1ère ligne	Avant	182	84	25.359
Longo Elia	1999	Argentine	3e ligne	Avant	193	97	26.041
Martin	1999	Argentine	3e ligne	Avant	187	102	29.169
Orengo	1999	Argentine	Centre	Arrière	175	85	27.755
Ostiglia	1999	Argentine	2e ligne	Avant	190	95	26.316
Perez	1999	Argentine	3e ligne	Avant	190	104	28.809
Phelan	1999	Argentine	3e ligne	Avant	187	91	26.023
Pichot	1999	Argentine	Demi	Arrière	175	78	25.469
Quesada	1999	Argentine	Demi	Arrière	182	83	25.057
Reggiardo	1999	Argentine	1ère ligne	Avant	190	121	33.518
Ruiz	1999	Argentine	3e ligne	Avant	193	102	27.383
Scelzo	1999	Argentine	1ère ligne	Avant	190	129	35.734
Simone	1999	Argentine	Centre	Arrière	182	88	26.567
Sporleder	1999	Argentine	2e ligne	Avant	198	117	29.844
Albanese	2003	Argentine	Ailier	Arrière	172	78	26.366
Alvarez Kairelis	2003	Argentine	2e ligne	Avant	195	107	28.139
Bouza	2003	Argentine	3e ligne	Avant	195	93	24.458
Contepomi M.	2003	Argentine	Centre	Arrière	187	90	25.737
Corleto	2003	Argentine	Arrière	Arrière	185	86	25.128
Durand	2003	Argentine	3e ligne	Avant	182	97	29.284
Fernandez Miranda J.	2003	Argentine	Demi	Arrière	180	85	26.235
Fernandez Miranda N.	2003	Argentine	Demi	Arrière	177	86	27.451
Hasan	2003	Argentine	1ère ligne	Avant	182	114	34.416
Hernandez	2003	Argentine	Arrière	Arrière	187	86	24.593
Ledesma	2003	Argentine	1ère ligne	Avant	182	110	33.209
Martin	2003	Argentine	3e ligne	Avant	187	103	29.455
Mendez	2003	Argentine	1ère ligne	Avant	182	114	34.416
Nunez Piossek	2003	Argentine	Ailier	Arrière	175	87	28.408
Orengo	2003	Argentine	Centre	Arrière	175	86	28.082
Ostiglia	2003	Argentine	3e ligne	Avant	190	95	26.316
Phelan	2003	Argentine	3e ligne	Avant	187	92	26.309
Pichot	2003	Argentine	Demi	Arrière	175	78	25.469
Quesada	2003	Argentine	Demi	Arrière	185	88	25.712
Reggiardo	2003	Argentine	1ère ligne	Avant	190	122	33.795
Senillosa	2003	Argentine	Ailier	Arrière	180	85	26.235
Contepomi F.	2003	Argentine	Centre	Arrière	177	92	29.366
Gaitan	2003	Argentine	Centre	Arrière	177	86	27.451
Longo	2003	Argentine	3e ligne	Avant	193	102	27.383
Roncero	2003	Argentine	1ère ligne	Avant	177	114	36.388
Scelzo	2003	Argentine	1ère ligne	Avant	187	128	36.604
Sporleder	2003	Argentine	2e ligne	Avant	198	118	30.099
Albacete	2003	Argentine	2e ligne	Avant	200	117	29.250
Grau	2003	Argentine	1ère ligne	Avant	182	108	32.605
Fernandez Lobbe	2003	Argentine	2e ligne	Avant	196	110	28.634
Roncero	2007	Argentine	1ère ligne	Avant	177	110	35.111
Fernandez Miranda	2007	Argentine	Demi	Arrière	177	84	35.111
Scelzo	2007	Argentine	1ère ligne	Avant	190	125	34.626
Hasan	2007	Argentine	1ère ligne	Avant	183	115	34.340
Borges	2007	Argentine	Ailier	Arrière	177	80	36.707
Vernet Basualdo	2007	Argentine	1ère ligne	Avant	180	109	33.642
Hernandez	2007	Argentine	Arrière	Arrière	187	90	31.170
Ledesma	2007	Argentine	1ère ligne	Avant	183	110	32.847
Bonorino	2007	Argentine	1ère ligne	Avant	189	116	32.474
Pichot	2007	Argentine	Demi	Arrière	175	78	37.878
Agulla	2007	Argentine	Ailier	Arrière	181	82	23.809
Ayerza	2007	Argentine	1ère ligne	Avant	186	106	30.639
Schusterman	2007	Argentine	3e ligne	Avant	189	101	29.674
Serra Miras	2007	Argentine	Arrière	Arrière	188	83	28.576
Durand	2007	Argentine	3e ligne	Avant	181	96	29.303
Fernandez Lobbe I.	2007	Argentine	2e ligne	Avant	194	110	29.227
Albacete	2007	Argentine	2e ligne	Avant	200	115	28.750
Longo	2007	Argentine	3e ligne	Avant	193	105	28.189
Lozada	2007	Argentine	2e ligne	Avant	194	106	28.165
Contepomi F.	2007	Argentine	Demi	Arrière	180	91	32.716
Leguizamon	2007	Argentine	3e ligne	Avant	190	100	27.701
Fernandez Lobbe J.	2007	Argentine	3e ligne	Avant	193	102	27.383
Alvarez	2007	Argentine	2e ligne	Avant	197	106	27.313
Todeschini	2007	Argentine	Demi	Arrière	185	85	30.972
Senillosa	2007	Argentine	Centre	Arrière	180	90	26.235
Contepomi M.	2007	Argentine	Centre	Arrière	189	96	25.195
Corleto	2007	Argentine	Ailier	Arrière	185	90	28.050
Nunez Piossek	2007	Argentine	Ailier	Arrière	184	90	26.583
Tiesi	2007	Argentine	Centre	Arrière	184	88	26.583
Ostiglia	2007	Argentine	3e ligne	Avant	191	99	24.122
Agulla	2011	Argentine	Ailier	Arrière	181	88	26.861
Albacete	2011	Argentine	2e ligne	Avant	200	118	29.500
Ayerza	2011	Argentine	1ère ligne	Avant	186	110	31.796
Campos	2011	Argentine	3e ligne	Avant	190	107	29.640
Carizza	2011	Argentine	2e ligne	Avant	202	120	29.409
Contepomi	2011	Argentine	Demi	Arrière	184	92	27.174
Creevy	2011	Argentine	1ère ligne	Avant	181	106	32.356
Farias Cabello	2011	Argentine	3e ligne	Avant	193	109	29.263
Fernandez Lobbe	2011	Argentine	3e ligne	Avant	193	102	27.383
Galarza	2011	Argentine	2e ligne	Avant	202	112	27.448
Gonzales Amorosino	2011	Argentine	Ailier	Arrière	185	85	24.836
Gozio	2011	Argentine	Centre	Arrière	177	85	27.131
