annee,academie,bac_general Inscrits,bac_general Présents,bac_general Réussite,bac_general Réussite (chiffres),bac_general AB,bac_general B,bac_general TB,bac_pro Inscrits,bac_pro Présents,bac_pro Réussite,bac_pro AB,bac_pro B,bac_pro TB,bac_techno Inscrits,bac_techno Présents,bac_techno Réussite,bac_techno AB,bac_techno B,bac_techno TB
2015,AIX-MARSEILLE,15350,15183,"0,8909965093",13528,3709,2353,1369,8820,8633,"0,7777134252",2173,700,110,6246,6137,"0,8937591657",1793,633,110
2015,AMIENS,9197,9110,"0,8946212953",8150,2217,1400,959,6483,6417,"0,7899329905",1671,620,95,4073,4008,"0,873752495",1066,388,120
2015,BESANCON,5779,5740,"0,9219512195",5292,1498,958,653,3259,3247,"0,809670465",933,360,51,2073,2046,"0,926686217",688,285,54
2015,BORDEAUX,16591,16415,"0,918306427",15074,4255,2559,1436,8843,8734,"0,8429127548",2699,968,146,5980,5888,"0,9176290761",1832,678,123
2015,CAEN,7489,7447,"0,9199677723",6851,1952,1159,741,4157,4136,"0,8266441006",1192,445,75,2565,2540,"0,9224409449",834,286,40
2015,CLERMONT-FERRAND,6038,5988,"0,9241816967",5534,1626,1056,640,3475,3446,"0,8209518282",1020,365,47,2156,2129,"0,9276655707",741,255,28
2015,CORSE,1264,1253,"0,9664804469",1211,315,230,147,609,596,"0,8154362416",170,49,8,519,514,"0,9260700389",168,35,16
2015,CRETEIL,22927,22476,"0,8779142196",19732,5203,3246,1831,14615,14339,"0,7369412093",3194,973,134,10024,9768,"0,8985462735",2772,999,203
2015,DIJON,7936,7841,"0,9154444586",7178,1991,1261,697,4338,4295,"0,8086146682",1155,483,66,2966,2895,"0,8949913644",788,274,55
2015,GRENOBLE,18155,17979,"0,9370932755",16848,4967,3279,2029,8807,8695,"0,8296722254",2654,910,135,6403,6324,"0,9367488931",2132,812,134
2015,GUADELOUPE,2884,2867,"0,9040809208",2592,637,370,228,2064,2018,"0,7770069376",443,95,3,1229,1218,"0,9293924466",281,88,13
2015,GUYANE,1148,1135,"0,8669603524",984,232,106,69,1252,1238,"0,731825525",206,47,1,698,687,"0,8180494905",125,29,8
2015,LA REUNION,4822,4778,"0,9198409376",4395,1139,728,629,3546,3517,"0,7537674154",728,209,27,2850,2819,"0,8772614402",661,243,49
2015,LILLE,20661,20466,"0,9098504837",18621,4982,3397,2734,14281,14173,"0,7937627884",3811,1335,194,8551,8401,"0,9201285561",2630,1079,288
2015,LIMOGES,3237,3204,"0,9260299625",2967,817,525,372,1922,1902,"0,8212407992",563,240,32,1211,1185,"0,9172995781",347,153,42
2015,LYON,17155,16976,"0,9183553252",15590,4460,2934,1830,8696,8564,"0,8225128445",2543,938,147,6652,6543,"0,9040195629",1915,652,136
2015,MARTINIQUE,2123,2103,"0,9339039467",1964,499,329,204,1678,1650,"0,8054545455",358,71,0,1033,1007,"0,8987090367",224,81,12
2015,MAYOTTE,1435,1420,"0,6866197183",975,140,63,32,979,965,"0,725388601",125,25,2,1414,1404,"0,6759259259",124,22,2
2015,MONTPELLIER,13298,13153,"0,90526876",11907,3325,2187,1378,7841,7722,"0,7983682984",2069,718,137,5687,5590,"0,9037567084",1676,609,132
2015,NANCY-METZ,11373,11264,"0,9137961648",10293,2883,1879,1178,7618,7555,"0,7895433488",1979,756,129,5006,4918,"0,9211061407",1542,677,154
2015,NANTES,18667,18538,"0,9411479124",17447,5234,3265,1860,10251,10155,"0,862530773",3284,1208,187,6756,6693,"0,9499477066",2425,853,164
2015,NICE,11164,11028,"0,9134929271",10074,2679,1905,1354,5440,5343,"0,7871982033",1398,505,88,4036,3968,"0,9261592742",1306,496,122
2015,ORLEANS-TOURS,12503,12395,"0,9169019766",11365,3296,2122,1296,6797,6735,"0,8124721604",1875,705,109,4867,4796,"0,9243119266",1487,588,118
2015,PARIS,16337,16051,"0,9252383029",14851,4058,3466,2511,5582,5471,"0,8000365564",1497,535,91,3843,3738,"0,8970037453",1119,506,132
2015,POITIERS,8303,8235,"0,9270188221",7634,2151,1379,847,4579,4537,"0,805818823",1226,422,63,3151,3111,"0,9234972678",938,327,64
2015,REIMS,6516,6471,"0,8932158863",5780,1551,955,597,4236,4200,"0,7923809524",1100,417,60,2486,2455,"0,900610998",716,260,51
2015,RENNES,17473,17336,"0,9372404246",16248,4893,3052,1809,8900,8804,"0,8734666061",2905,1077,142,6797,6746,"0,9439667951",2304,802,172
2015,ROUEN,9701,9612,"0,9089679567",8737,2312,1527,1004,5993,5920,"0,7861486486",1548,621,136,3949,3890,"0,8946015424",1029,467,92
2015,STRASBOURG,9579,9502,"0,9345400968",8880,2598,1955,1429,5613,5539,"0,8021303484",1552,537,83,3787,3721,"0,9303950551",1215,564,118
2015,TOULOUSE,15243,15112,"0,9215193224",13926,4023,2590,1601,8093,8012,"0,8197703445",2200,819,134,5356,5261,"0,9038205664",1603,600,80
2015,VERSAILLES,35976,35518,"0,9129455487",32426,9124,6467,3989,15627,15358,"0,7585623128",3909,1298,182,12574,12269,"0,8846686772",3444,1333,267
