"I","P","Heure De Collecte","Url Source","Titre","Competiton","Type","Realise Par","Pays","Awards","Duree","Premier Film","Categorie4","Annee"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3894/year/1953.html","PETER PAN (LES AVENTURES DE PETER PAN)","En Compétition","Longs Métrages","Clyde GERONIMI Wilfred JACKSON Hamilton LUSKE","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4309/year/1946.html","THE SEVENTH VEIL (LE SEPTIEME VOILE)","En Compétition","Longs Métrages","Compton BENNET","ROYAUME-UNI","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2523/year/1969.html","Z","En Compétition","Longs Métrages","COSTA-GAVRAS","FRANCE","Prix du Jury Unanimité, 1969;Prix d'interprétation masculine, 1969","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2178/year/1975.html","SECTION SPECIALE","En Compétition","Longs Métrages","COSTA-GAVRAS","FRANCE","Prix de la mise en scène Ex-aequo, 1975","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1565/year/1982.html","MISSING","En Compétition","Longs Métrages","COSTA-GAVRAS","ÉTATS-UNIS","Prix d'interprétation masculine, 1982;Palme d'or Ex-aequo Unanimité, 1982","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2890/year/1965.html","PRODOSSIA (LA TRAHISON)","En Compétition","Longs Métrages","Costas MANOUSSAKIS","GRÈCE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4427638/year/2007.html","4 LUNI, 3 SAPTAMINI SI 2 ZILE (4 MOIS, 3 SEMAINES ET 2 JOURS)","En Compétition","Longs Métrages","Cristian MUNGIU","","Palme d'or, 2007","113.00 minutes","","","2007"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11256921/year/2012.html","DUPA DEALURI (AU-DELA DES COLLINES)","En Compétition","Longs Métrages","Cristian MUNGIU","","Prix du scénario, 2012;Prix d'interprétation féminine Ex-aequo, 2012","150.00 minutes","","","2012"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4227/year/1947.html","POSSESSED (POSSEDEE)","En Compétition","Longs Métrages","Curtis BERNHARDT","ÉTATS-UNIS","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4806/year/1997.html","L.A. CONFIDENTIAL","En Compétition","Longs Métrages","Curtis HANSON","ÉTATS-UNIS","","135.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4099/year/1951.html","IL CRISTO PROIBITO (LE CHRIST INTERDIT)","En Compétition","Longs Métrages","Curzio MALAPARTE","ITALIE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3819/year/1954.html","MAN OF AFRICA (L'HOMME D'AFRIQUE)","En Compétition","Longs Métrages","Cyril FRANKEL","ROYAUME-UNI","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/1100058/year/2001.html","ROBERTO SUCCO","En Compétition","Longs Métrages","Cédric KAHN","FRANCE","","124.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2402/year/1971.html","JOHNNY GOT HIS GUN","En Compétition","Longs Métrages","Dalton TRUMBO","ÉTATS-UNIS","Prix de la Critique Internationale - F.I.P.R.E.S.C.I., 1971;Grand Prix Spécial du Jury Ex-aequo, 1971","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/100003777/year/2014.html","RELATOS SALVAJES","En Compétition","Longs Métrages","Damián SZIFRÓN","ARGENTINE, ESPAGNE","","122.00 minutes","","","2014"
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2480/year/1970.html","HATIMOHNI (LE REVEUR)","En Compétition","Longs Métrages","Dan WOLMAN","ISRAËL","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3979/year/1952.html","PARSIFAL","En Compétition","Longs Métrages","Daniel MANGRANÉ Carlos SERRANO DE OSMA","ESPAGNE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3895/year/1953.html","COME BACK LITTLE SHEBA (REVIENS PETITE SHEBA)","En Compétition","Longs Métrages","Daniel MANN","ÉTATS-UNIS","Prix International du film dramatique, 1953","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3595/year/1956.html","I'LL CRY TOMORROW (UNE FEMME EN ENFER)","En Compétition","Longs Métrages","Daniel MANN","ÉTATS-UNIS","Prix International de la meilleure interprétation, 1956","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/3242/year/1961.html","A RAISIN IN THE SUN (UN RAISIN AU SOLEIL)","En Compétition","Longs Métrages","Daniel PETRIE","ÉTATS-UNIS","Prix Gary Cooper, 1961","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/2121/year/1976.html","SCHATTEN DER ENGEL (L'OMBRE DES ANGES)","En Compétition","Longs Métrages","Daniel SCHMID","SUISSE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/4051/year/1951.html","LA DANZA DEL FUEGO","En Compétition","Longs Métrages","Daniel TINAYRE","ARGENTINE","","","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/86/year/1991.html","IL PORTABORSE (LE PORTEUR DE SERVIETTE)","En Compétition","Longs Métrages","Daniele LUCHETTI","ITALIE, FRANCE","","93.00 minutes","","",""
"","","15/4/2015 17:13:42","http://www.festival-cannes.com/fr/archives/ficheFilm/id/11023118/year/2010.html","LA NOSTRA VITA","En Compétition","Longs Métrages","Daniele LUCHETTI","ITALIE, FRANCE","Prix d'interprétation masculine Ex-aequo, 2010","98.00 minutes","","","2010"
