"Agence","Code","Département","Nombre de retours à l'emploi","Taux de paiements dans les délais","Taux de satisfaction des demandeurs d'emploi","Taux de satisfaction des entreprises","Nombre de demandeurs d'emploi","Taille moyenne des portefeuilles suivis","Taille moyenne des portefeuilles guidés","Taille moyenne des portefeuilles renforcés"
"SEZANNE","CHA0026",51,1849,"87 %","59 %","71 %",2006,216,139,69
"SIN LE NOBLE","NPC0110",59,3905,"97 %","72 %","67 %",3932,368,187,72
"SIX FOURS","PAC0087",83,5471,"96 %","64 %","68 %",5610,381,186,78
"SOISSONS","PIC0067",2,6100,"91 %","58 %","67 %",7171,286,207,120
"SOMAIN","NPC0097",59,4361,"96 %","69 %","67 %",5185,307,196,83
"SOUILLAC","MPY0043",4682,2532,"94 %","62 %","67 %",2194,217,152,81
"ST BRIEUC OUEST","BRE0097",22,4859,"92 %","60 %","58 %",4655,174,162,65
"ST BRIEUC SUD","BRE0089",22,4960,"90 %","56 %","58 %",4512,341,165,70
"ST ETIENNE BELLEVUE","RHA0169",42,4021,"92 %","51 %","65 %",4772,290,121,81
"ST ETIENNE CHATEAUCREUX","RHA0166",42,3142,"92 %","63 %","65 %",3407,167,83,52
"ST GENIS POUILLY","RHA0215",1,4604,"87 %","71 %","59 %",5095,531,257,73
"ST GILLES CROIX DE VIE","PDL0015",85,3463,"97 %","62 %","68 %",2670,429,235,75
"ST HERBLAIN","PDL0097",44,4789,"94 %","52 %","59 %",4161,245,184,82
"ST JUNIEN","LIM0013",87,1921,"91 %","58 %","63 %",1911,277,229,80
"ST LAURENT DU MARONI","GUY0012",973,1302,"89 %","ND","72 %",4810,437,291,61
"ST LOUIS BEL AIR","REU0051",974,3543,"96 %","69 %","71 %",8985,409,271,77
"ST NAZAIRE","PDL0087",44,5342,"95 %","55 %","59 %",4510,322,137,85
"ST YRIEIX","LIM0010",87,1925,"86 %","55 %","63 %",2172,188,238,64
"STAINS","IDF0234",93,4847,"91 %","66 %","69 %",5897,402,146,58
"STRASBOURG ESPLANADE","ALS0012",67,4606,"94 %","70 %","65 %",4837,312,143,74
"STRASBOURG HAUTEPIERRE","ALS0031",67,6374,"95 %","67 %","65 %",7001,321,126,51
"STRASBOURG MEINAU","ALS0029",67,7843,"95 %","64 %","65 %",8206,296,128,90
"STRASBOURG PONT MATTHIS","ALS0013",67,1475,"95 %","68 %","65 %",1541,242,136,57
"SUCY-EN-BRIE","IDF0294",94,6707,"92 %","62 %","62 %",7075,262,145,72
"TARARE","RHA0085",69,4601,"90 %","63 %","62 %",3674,261,96,76
"TARBES ARSENAL","MPY0067",93265,4454,"94 %","69 %","75 %",4543,171,119,64
"TARBES PYRENEES","MPY0062",93265,4817,"91 %","64 %","75 %",4660,308,121,80
"TASSIN LA DEMI LUNE","RHA0073",69,6920,"93 %","65 %","62 %",5894,197,168,67
"TAVERNY","IDF0110",95,3695,"93 %","62 %","62 %",3673,312,133,68
"TERRASSON","AQU0067",24,1707,"95 %","59 %","66 %",1829,141,151,63
"THANN","ALS0049",68,3422,"94 %","69 %","68 %",3207,171,154,78
"THIERS","AUV0020",63,4258,"94 %","64 %","67 %",4708,309,124,72
"THIONVILLE BEAUREGARD","LOR0081",57,3607,"91 %","73 %","71 %",3864,138,216,62
"THIONVILLE MANOM","LOR0093",57,3499,"94 %","66 %","71 %",3844,182,239,75
"THONON LES BAINS","RHA0116",74,7675,"91 %","68 %","60 %",6298,562,200,74
"THOUARS","PCH0041",79,2191,"92 %","73 %","69 %",1709,337,172,73
"TIGNIEU JAMEYZIEU","RHA0024",38,3106,"95 %","64 %","63 %",2538,479,142,68
"TLSE BORDEROUGE","MPY0101",31,8382,"88 %","52 %","64 %",8264,238,161,76
"TORCY","IDF0338",77,5194,"95 %","72 %","65 %",5220,211,189,65
"TOUL","LOR0037",54,2662,"94 %","55 %","68 %",2671,241,131,80
"TOULON CARNOT","PAC0089",83,5090,"95 %","65 %","68 %",5843,335,146,67
"TOULON LA RODE","PAC0096",83,4948,"94 %","65 %","68 %",5845,321,134,75
"TOULOUSE ARENES","MPY0100",31,2493,"95 %","65 %","64 %",2391,301,102,78
"TOULOUSE BELLEFONTAINE","MPY0103",31,3409,"93 %","59 %","64 %",3768,278,131,61
"TOULOUSE JOLIMONT","MPY0106",31,6954,"93 %","61 %","64 %",6994,140,113,69
"TOULOUSE LA CEPIERE","MPY0078",31,3026,"96 %","55 %","64 %",4122,252,147,79
"TOULOUSE LA PLAINE","MPY0107",31,4201,"94 %","57 %","64 %",4188,191,124,69
"TOULOUSE OCCITANE","MPY0105",31,3007,"93 %","70 %","64 %",3280,116,98,66
"TOULOUSE PURPAN","MPY0102",31,3009,"95 %","71 %","64 %",2785,181,121,82
"TOULOUSE SAINT-MICHEL","MPY0074",31,5292,"94 %","68 %","64 %",5867,160,145,64
"TOURCOING CENTRE","NPC0055",59,4866,"93 %","60 %","67 %",6534,360,185,71
"TOURCOING GAND","NPC0025",59,3164,"95 %","ND","67 %",3948,395,187,84
"TOURNON SUR RHONE","RHA0204",726,5204,"93 %","64 %","66 %",5154,452,271,67
"TOURS DEUX LIONS","CEN0026",37,5857,"94 %","64 %","67 %",6656,300,120,81
"TOURS RONSARD","CEN0027",37,4126,"95 %","57 %","67 %",3680,295,147,67
"TRAPPES","IDF0380",78,5147,"94 %","57 %","58 %",4931,146,137,85
"TREMBLAY-EN-FRANCE","IDF0245",93,4470,"94 %","56 %","69 %",5097,400,134,129
"TREVOUX","RHA0214",1,3780,"94 %","57 %","59 %",2691,278,121,69
"TRIGNAC","PDL0096",44,6433,"93 %","63 %","59 %",4088,199,139,71
"TROYES COPAINVILLE","CHA0059",10,3708,"92 %","65 %","63 %",4331,272,95,70
"TROYES LANGEVIN","CHA0058",10,5192,"95 %","56 %","63 %",6222,307,115,72
"TROYES ROMAIN ROLLAND","CHA0064",10,3945,"91 %","57 %","63 %",4699,361,118,69
"TULLE","LIM0021",2319,3009,"94 %","65 %","68 %",3048,226,172,57
"USSEL","LIM0026",2319,1359,"94 %","ND","68 %",1206,181,140,87
"VALENCE BRIFFAUT","RHA0183",726,5144,"91 %","55 %","66 %",5372,312,252,66
"VALENCE VICTOR HUGO","RHA0186",726,4685,"92 %","57 %","66 %",4799,148,123,74
"VALENCIENNES TERTIALES","NPC0098",59,5862,"97 %","55 %","67 %",7589,270,116,79
"VANDOEUVRE LES NANCY","LOR0043",54,4264,"92 %","63 %","68 %",4085,267,162,96
"VANNES EST","BRE0020",56,7024,"94 %","63 %","59 %",5533,238,208,73
"VANNES OUEST","BRE0015",56,6185,"94 %","68 %","59 %",5839,345,170,53
"VAULX EN VELIN","RHA0092",69,3770,"90 %","58 %","62 %",4468,270,83,54
"VAUVERT","LAN0021",3048,5376,"93 %","64 %","66 %",5682,388,147,86
"VENDOME","CEN0045",41,3662,"93 %","61 %","68 %",3065,207,135,76
"VENISSIEUX","RHA0093",69,4791,"84 %","56 %","62 %",6004,291,158,95
"VERDUN","LOR0059",55,3877,"91 %","72 %","81 %",4296,357,183,47
"VERNEUIL SUR AVRE","HNO0058",27,2175,"91 %","55 %","64 %",2309,263,316,128
"VERNON","HNO0061",27,5697,"88 %","57 %","64 %",5442,179,196,85
"VERNOUILLET","CEN0077",28,2933,"94 %","56 %","60 %",2981,367,130,75
"VERSAILLES","IDF0368",78,8228,"96 %","66 %","58 %",7659,333,121,72
"VERVINS GUISE","PIC0054",2,1885,"96 %","ND","67 %",2618,253,102,99
"VESOUL","FRC0015",3970,3855,"93 %","68 %","68 %",3785,381,168,85
"VICHY","AUV0067",3,3308,"95 %","62 %","64 %",3792,255,130,72
"VIENNE","RHA0035",38,4474,"92 %","62 %","63 %",4043,146,137,65
"VIERZON","CEN0097",18,2332,"94 %","61 %","62 %",3174,367,225,71
"VILLE LA GRAND","RHA0101",74,4369,"93 %","70 %","60 %",4569,231,165,58
"VILLEFONTAINE","RHA0031",38,5499,"91 %","65 %","63 %",4551,154,134,63
"VILLEFRANCHE DE LAURAGAIS","MPY0083",31,2649,"94 %","56 %","64 %",2466,215,155,68
"VILLEFRANCHE DE ROUERGUE","MPY0030",1281,1283,"94 %","ND","68 %",1358,146,145,74
"VILLEFRANCHE SUR SAONE","RHA0083",69,5898,"88 %","63 %","62 %",5358,487,96,54
"VILLEJUIF","IDF0283",94,4455,"94 %","59 %","62 %",5057,254,132,42
"VILLENAVE D ORNON","AQU0092",33,5233,"94 %","64 %","65 %",4560,265,134,74
"VILLENEUVE D'ASCQ","NPC0036",59,6420,"96 %","66 %","67 %",7768,448,295,75
"VILLENEUVE LES AVIGNON","LAN0029",3048,2351,"93 %","76 %","66 %",2115,294,135,97
"VILLENEUVE SUR LOT","AQU0042",47,4810,"96 %","64 %","69 %",5105,305,154,67
"VILLENEUVE-SAINT-GEORGES","IDF0293",94,3273,"94 %","62 %","62 %",3631,414,140,71
"VILLEURBANNE PASCAL","RHA0067",69,5141,"88 %","56 %","62 %",5093,289,121,62
"VILLEURBANNE PERRALLIERE","RHA0080",69,5605,"90 %","54 %","62 %",5559,373,140,66
"VINCENNES","IDF0284",94,3055,"93 %","63 %","62 %",3063,240,187,87
"VIRE","BNO0056",14,3088,"94 %","62 %","67 %",2696,154,147,58
"VIRY-CHÂTILLON","IDF0134",91,5664,"95 %","57 %","62 %",5944,259,210,54
"VITRE","BRE0073",35,4401,"96 %","63 %","62 %",2728,124,128,55
"VITROLLES","PAC0049",13,4081,"93 %","66 %","62 %",4437,299,137,82
"VITRY LE FRANCOIS","CHA0033",51,2453,"93 %","71 %","71 %",2457,211,145,80
"VITRY-SUR-SEINE","IDF0285",94,5441,"92 %","57 %","62 %",6708,240,255,59
"VOIRON","RHA0039",38,5608,"93 %","57 %","63 %",4890,162,186,78
"WATTRELOS","NPC0034",59,3120,"96 %","52 %","67 %",3568,139,198,75
"WISSEMBOURG","ALS0027",67,2717,"92 %","76 %","65 %",2687,343,160,83
"YVETOT","HNO0029",76,2836,"96 %","76 %","61 %",2547,180,129,68
