Column 1,Column 2,Type,Column 3,Column 4
2015/1/343,vidéo « Dis le moi » de Jali,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,3901
2015/1/250,vidéo « Dis leur » de Fababy,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,5600
2015/1/609,vidéo « Discold » de Zazie,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,15575
2015/1/863,vidéo « Fou à lier » de Feu! Chatterton,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4015.1
2015/1/550,vidéo « Get up stand up » de Tiken Jah Fakoly,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,17773
2015/1/130,vidéo « Je reviens » de Jean-Baptiste Maunier,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,12574
2015/1/136,vidéo « Je suis moi » de Nach,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,11823
2015/1/354,vidéo « Je suis un homme » de Maximilien Philippe,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,6400
2015/1/467,vidéo « Jeune » de Louane,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,20258
2015/1/248,vidéo « La Foudre » de Marvin Dupré,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4991
2015/1/259,vidéo « La France » - Mickael Miro et Aurore Delplace,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,19085
2015/1/469,vidéo « La rupture » de Laurie Darmon,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,8966
2015/1/135,vidéo « La vague » de Izia,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,20339
2015/1/472,vidéo « Là-Haut » de 3010,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,1393
2015/1/268,vidéo « Last Night of February » de Thomas Encho,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4898
2015/1/128,vidéo « Le prix du paradis » de Tiken Jah Fakoly,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,2668
2015/1/357,vidéo « Le psaume de David » de Battista Acquaviva,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,7325
2015/1/133,vidéo « Les amis » de Julie Zenatti,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,8400
2015/1/267,vidéo « Letting you go » de Thomas Encho,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4471
2015/1/254,vidéo « Lhomme au Bob » de Gradur,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,12530
2015/1/470,vidéo « Ma rime » de Kool Shen,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,3219
2015/1/473,vidéo « Melhia » de DJ Hamida,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,6018
2015/1/468,vidéo « My love for ever more » d'Arielle Dombasle,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,12421
2015/1/800,vidéo « Nos secrets » de Louane,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,16678
2015/1/256,vidéo « Nous aussi » de BigFlo & Oli,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4800
2015/1/539,vidéo « Octobre » de Lilian Renaud,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4002
2015/1/113,vidéo « Qui je suis » de Thomas Dutronc,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,13549
2015/1/543,vidéo « Revoir Paris » de Biolay/Fiszman/Bennarosh,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,12206
2015/1/597,vidéo « Summer » de Aufgang,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,15857
2015/1/356,vidéo « The hanging tree » de Blankets,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,5080
2015/1/347,vidéo « Toboggan » de Emji,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,12585
2015/1/134,vidéo « Tous les deux » de Jonah,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,6000
2015/1/110,vidéo « La Mala » de Fababy,Vidéo / Droits de tirage,UNIVERSAL MUSIC FRANCE,4000
