ID,Nom,Année de naissance,Age,Ecole,ENA,Poste origine,Origine privé ou public,Sexe,Poste,Présidence (O/N),Date entrée,Recrutement interne,Date sortie,Mobilité interne,Poste sortie,Sortie public ou privé,Date de sortie poste de sortie,Durée,Lien
35,Bernard Abbo,inconnue,inconnu,inconnue,0,Armée,null,Homme,Etat-major particuler,1,17/05/2012,,31/08/2015,,Armée,null,,1201,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030611222"
36,Sergio Albarello,inconnue,inconnu,Master II sciences politiques et sociales,0,Conseiller santé auprès du directeur de la DGSCGC,Public,Homme,Etat-major particuler,1,17/05/2012,,02/09/2014,,Armée,null,,838,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029490029"
37,Patrice Morand,inconnue,inconnu,inconnue,0,Armée,null,Homme,Etat-major particuler,1,17/05/2012,,15/07/2013,,Armée,null,,424,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895153,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000027650346"
38,Eric Lavault,inconnue,inconnu,inconnue,0,Armée,null,Homme,Aide de camp,1,17/05/2012,,17/07/2015,,Armée,null,,1156,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895156,https://www.legifrance.gouv.fr/affichTexte.do;jsessionid=E8E14714981BE60ADA4DFE5042830CF5.tpdila17v_1?cidTexte=JORFTEXT000030768770&dateTexte=&oldAction=rechJO&categorieLien=id&idJO=JORFCONT000030768764"
39,Yann Latil,inconnue,inconnu,inconnue,0,Armée,null,Homme,Aide de camp,1,17/05/2012,,01/06/2015,,Armée,null,,1110,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025895156,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000030768767"
40,Anne Courrèges,1977,39,ENA (Copernic),1,Directrice des affaires juridiques au ministère de l'Éducation nationale et du ministère de l’Enseignement supérieur et de la Recherche ,Public,Femme,Conseillère éducation,1,22/05/2012,,08/04/2014,,Conseillère éducation au cabinet du Premier ministre,Public,05/01/2015,686,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028836696&dateTexte=&categorieLien=id,http://www.agence-biomedecine.fr/Anne-Courreges-nommee-directrice,683"
41,Jean-Yves Merindol,16/06/1955,61,Normal Sup,0,"Président du conseil scientifique de l’Institut français des sciences et technologies des transports, de l’aménagement et des réseaux",Public,Homme,Conseiller enseignement supérieur et recherche,1,22/05/2012,,11/10/2013,,Président de l'Université Sorbonne Paris Cité,Public,,507,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000028056579,http://www.ehesp.fr/2013/12/17/jean-yves-merindol-nouveau-president-de-sorbonne-paris-cite/,http://www.acteurspublics.com/2012/02/07/jean-yves-merindol-president-du-conseil-scientifique-de-l-ifsttar"
42,Thierry Rey,01/06/1959,57,inconnue,0,Directeur de développement du sport de haut niveau chez Lagardère,Privé,Homme,"Conseiller sport, jeunesse et vie associative",1,22/05/2012,,26/06/2014,,Inspecteur général de la jeunesse et des sports,Public,24/11/2014,765,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029139664&categorieLien=id,https://www.whoswho.fr/bio/thierry-rey_7864,http://www.acteurspublics.com/2014/06/25/thierry-rey-nomme-au-tour-exterieur-dans-un-corps-d-inspection"
43,Hayet Zeggar,1973,43,ENA (Cyrano de Bergerac),1,Inspectrice aux affaires sociales,Public,Femme,Conseillère politique de solidarité et du logement,1,22/05/2012,,13/05/2013,,Inspectrice générale des affaires sociales,Public,,356,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexteArticle.do?idArticle=JORFARTI000027406083&cidTexte=JORFTEXT000027406082&categorieLien=id,http://www.agence-biomedecine.fr/IMG/pdf/pv_co_03042014_dv.pdf,http://www.acteurspublics.com/biographies/detail/79962"
44,Olivier Lluansi,14/10/1969,47,Polytechnique,0,Délégué général Europe central de Saint-Gobain,Privé,Homme,Conseiller industrie et énergie,1,22/05/2012,,06/11/2014,,Conseiller du président du directoire de RTE,Entreprise publique,,898,"https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000025910419,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000029522432,http://www.lesechos.fr/18/11/2014/LesEchos/21816-136-ECH_rte---olivier-lluansi.htm,http://www.acteurspublics.com/biographies/detail/34302"
